quake_code,cfti_code,asset_id,type,title,date,source,path,excerpt,tags,author,rights,credit,description,width,height,filename
1026,,cfti_1026_ico_001786,image,Immagine CFTI ico_001786,,INGV – CFTI Visual,img/1026/ico_001786.jpg,,1026;terremoto,"*, Archivio di Stato di Firenze, Fabbriche granducali, filza 1928, n.55, Relazione dell aiuto ingegnere Ridolfo Giamberti al provveditore generale delle fortezze Andrea Arrighetti sui danni causati dal terremoto del 22 marzo 1661 nelle fortezze di Terra del Sole, Montepoggiolo e Castrocaro, Firenze 23 aprile 1661.  1661",CC BY-NC-SA,,"Rocca - Disegno allegato alla relazione dell’aiuto ingegnere Ridolfo Giamberti sui danni causati dal terremoto del 22 marzo 1661 nelle fortezze di Terra del Sole, Montepoggiolo e Castrocaro. La relazione fu inviata al provveditore generale delle fortezze Andrea Arrighetti appena un mese dopo il terremoto, il 23 aprile 1661. Lo stesso giorno Arrighetti spedì la relazione al granduca di Toscana. Nel disegno, contraddistinte dalla lettera A, sono indicate le parti da demolire disegnate come semi crollate; al piano delle stanze dove erano conservate le armi, con la lettera B sono indicati sei “sporti” (ossia le mensole in muratura a sostegno del parapetto di ronda) quasi staccati dalle mura e pericolanti; infine con la lettera C, le stanze dove soggiornavano i soldati, per le quali l'ingegnere consigliava la riparazione: ""[...] il muro tutto spellato, et anco in qualche luogo sfondato"".",1011,838,ico_001786.jpg
1103,,cfti_1103_ico_001788,image,Immagine CFTI ico_001788,,INGV – CFTI Visual,img/1103/ico_001788.jpg,,1103;terremoto,"*, Archivio di Stato di Firenze, Fabbriche granducali, filza 1928, n.65, Relazione dell aiuto ingegnere Antonio Ferri al provveditore generale delle fortezze Ferdinando della Rena sui danni causati dal terremoto dell 11 aprile 1688 nelle fortezze di Terra del Sole, Castrocaro e Montepoggiolo, Firenze 30 aprile 1688.  1688",CC BY-NC-SA,,"Rocca - Disegno allegato alla relazione dell’aiuto ingegnere Antonio Ferri al provveditore generale delle fortezze Ferdinando della Rena sui danni causati dal terremoto dell’11 aprile 1688 nelle fortezze di Terra del Sole, Castrocaro e Montepoggiolo. Pur essendo un territorio colpito marginalmente dal terremoto, il Granduca di Toscana, preoccupato per lo stato di conservazione delle fortezze, inviò un perito per un sopralluogo. Il disegno delinea il Maschio (o Mastio) della fortezza dove sono indicate quattro lesioni nella muratura di sostegno del parapetto di ronda (sporti); nel testo è riportato che ""il muro situato sugli sporti, et archi della torre è tutto aperto, e veramente pericoloso"".",1063,1180,ico_001788.jpg
1103,,cfti_1103_ico_001789,image,Immagine CFTI ico_001789,,INGV – CFTI Visual,img/1103/ico_001789.jpg,,1103;terremoto,"*, Archivio di Stato di Firenze, Fabbriche granducali, filza 1928, n.65, Relazione dell aiuto ingegnere Antonio Ferri al provveditore generale delle fortezze Ferdinando della Rena sui danni causati dal terremoto dell 11 aprile 1688 nelle fortezze di Terra del Sole, Castrocaro e Montepoggiolo, Firenze 30 aprile 1688.  1688",CC BY-NC-SA,,"Rocca - Disegno allegato alla relazione dell’aiuto ingegnere Antonio Ferri al provveditore generale delle fortezze Ferdinando della Rena sui danni causati dal terremoto dell’11 aprile 1688 nelle fortezze di Terra del Sole, Castrocaro e Montepoggiolo. Pur essendo un territorio colpito marginalmente dal terremoto, il Granduca di Toscana, preoccupato per lo stato di conservazione delle fortezze, inviò un perito per un sopralluogo. Il disegno delinea due stanze della fortezza la cui stabilità strutturale fu compromessa dal crollo del masso sul quale erano poggiate le fondazioni e per le quali il perito consigliò la demolizione.",1778,1642,ico_001789.jpg
1103,,cfti_1103_ico_001790,image,Immagine CFTI ico_001790,,INGV – CFTI Visual,img/1103/ico_001790.jpg,,1103;terremoto,"*, Archivio di Stato di Firenze, Fabbriche granducali, filza 1928, n.65, Relazione dell aiuto ingegnere Antonio Ferri al provveditore generale delle fortezze Ferdinando della Rena sui danni causati dal terremoto dell 11 aprile 1688 nelle fortezze di Terra del Sole, Castrocaro e Montepoggiolo, Firenze 30 aprile 1688.  1688",CC BY-NC-SA,,"Palazzo del provveditore - Disegno di Antonio Ferri nella relazione inviata il 30 aprile 1688 al provveditore generale delle fortezze Ferdinando della Rena sui danni causati dal terremoto dell’11 aprile 1688 nelle fortezze di Terra del Sole, Castrocaro e Montepoggiolo. Nel disegno sono evidenziate le profonde lesioni causate dal terremoto alla parete della cucina. Ferri consigliò di riparare il danno e di utilizzare due catene per il ripristino dell'integrità strutturale.",1772,1591,ico_001790.jpg
1103,,cfti_1103_ico_001791,image,Immagine CFTI ico_001791,,INGV – CFTI Visual,img/1103/ico_001791.jpg,,1103;terremoto,"*, Archivio di Stato di Firenze, Fabbriche granducali, filza 1928, n.65, Relazione dell aiuto ingegnere Antonio Ferri al provveditore generale delle fortezze Ferdinando della Rena sui danni causati dal terremoto dell 11 aprile 1688 nelle fortezze di Terra del Sole, Castrocaro e Montepoggiolo, Firenze 30 aprile 1688.  1688",CC BY-NC-SA,,"Chiesa di S.Barbara - Disegno di Antonio Ferri nella relazione inviata il 30 aprile 1688 al provveditore generale delle fortezze Ferdinando della Rena sui danni causati dal terremoto dell’11 aprile 1688 nelle fortezze di Terra del Sole, Castrocaro e Montepoggiolo. Nel disegno sono evidenziate le profonde lesioni causate dal terremoto alla facciata della chiesa. Ferri consigliò di riparare il danno e di utilizzare una catena per il ripristino dell'integrità strutturale.",1772,1516,ico_001791.jpg
11516,,cfti_11516_ico_000293,image,Immagine CFTI ico_000293,,INGV – CFTI Visual,img/11516/ico_000293.jpg,,11516;terremoto,"Sommer G., University College of London, Department of Earth Sciences, Johnston-Lavis UCL Geology Collection, LDUCG 71249, Photograph of Sommer G., 8134-Casamicciola.",CC BY-NC-SA,,Crollo pressoché totale di alcune abitazioni in una zona non precisata del paese. Alcuni soldati sono alla ricerca di sopravvissuti sotto le macerie.,3565,2776,ico_000293.jpg
11516,,cfti_11516_ico_000295,image,Immagine CFTI ico_000295,,INGV – CFTI Visual,img/11516/ico_000295.jpg,,11516;terremoto,"Sommer G., University College of London, Department of Earth Sciences, Johnston-Lavis UCL Geology Collection, LDUCG 71159, Photograph of Sommer G., 8133 - Casamicciola.",CC BY-NC-SA,,"Piazza Maio - Crolli diffusi e molti edifici gravemente lesionati. Questa zona del comune fu molto danneggiata e molti edifici dovettero essere demoliti. Sulla destra, la cupola e il campanile della chiesa parrocchiale di S.Maria Maddalena che fu invece danneggiata leggermente.",3765,2946,ico_000295.jpg
11516,,cfti_11516_ico_000299,image,Immagine CFTI ico_000299,,INGV – CFTI Visual,img/11516/ico_000299.jpg,,11516;terremoto,"Sommer G., University College of London, Department of Earth Sciences, Johnston-Lavis UCL Geology Collection, LDUCG 71251, Photograph of Sommer G., 8135 - Casamicciola.",CC BY-NC-SA,,"Crollo parziale di un edificio in una zona imprecisata dell'abitato. Crollo della copertura, della muratura e dei piani superiori di un'abitazione situata all'estremità di un gruppo di case rimaste in piedi. Alcune travi in legno sorreggono il balcone dell'edificio adiacente a quello crollato. Le macerie rivelano la scarsa qualità delle strutture in muratura composte da materiale lapideo di forma irregolare e da malta dotata di inadeguata coesione.",4004,3028,ico_000299.jpg
11516,,cfti_11516_ico_000300,image,Immagine CFTI ico_000300,,INGV – CFTI Visual,img/11516/ico_000300.jpg,,11516;terremoto,"Sommer G., University College of London, Department of Earth Sciences, Johnston-Lavis UCL Geology Collection, LDUCG 71250, Photograph of Sommer G., 8136 - Casamicciola ""South side of the Piazza di Maio. Casamicciola"".",CC BY-NC-SA,,"Piazza Maio - Crolli. I resti delle abitazioni crollate nella zona sud della piazza. Un uomo in piedi, rivolto a destra, osserva le rovine.",3688,2888,ico_000300.jpg
11516,,cfti_11516_ico_000303,image,Immagine CFTI ico_000303,,INGV – CFTI Visual,img/11516/ico_000303.jpg,,11516;terremoto,"*, University College of London, Department of Earth Sciences, Johnston-Lavis UCL Geology Collection, LDUCG 71025, Photograph of unidentified, N° 349. Ischia. Veduta del Terremoto di Casamicciola, 4 marzo 1881.",CC BY-NC-SA,,"Crollo parziale di due abitazioni in una zona imprecisata dell'abitato. A terra, su una barella improvvisata, una vittima.",3271,2623,ico_000303.jpg
