quake_code,Anno,Mese,Giorno,Luogo,Magnitudo,Latitudine,Longitudine,cfti_url
13,1065,3,27,Brescia,5.1,45.5447,10.2141,https://storing.ingv.it/cfti/cfti5/quake.php?00013IT=
18,1087,9,10,Puglia,5.6,41.25,16,https://storing.ingv.it/cfti/cfti5/quake.php?00018IT=
35,1117,1,3,Veronese,6.8,45.3665,11.1673,https://storing.ingv.it/cfti/cfti5/quake.php?00035IT=
36,1120,3,25,Rocca d’Evandro,5.8,41.3778,13.9172,https://storing.ingv.it/cfti/cfti5/quake.php?00036IT=
39,1125,10,11,Sannio-Molise,5.6,41.5996,14.997,https://storing.ingv.it/cfti/cfti5/quake.php?00039IT=
46,1125,6,7,Siracusa,5.8,37.0828,15.2852,https://storing.ingv.it/cfti/cfti5/quake.php?00046IT=
57,1160,10,15,Subiaco (RM),5.2,41.9259,13.0946,https://storing.ingv.it/cfti/cfti5/quake.php?00057IT=
58,1161,1,16,Ceccano (FR),5.1,41.5691,13.3342,https://storing.ingv.it/cfti/cfti5/quake.php?00058IT=
62,1169,2,4,Sicilia orientale,6.4,37.2155,14.9488,https://storing.ingv.it/cfti/cfti5/quake.php?00062IT=
65,1170,5,9,Ceccano (FR),5.6,41.5691,13.3342,https://storing.ingv.it/cfti/cfti5/quake.php?00065IT=
72,1184,5,24,Valle del Crati,6.7,39.3951,16.1933,https://storing.ingv.it/cfti/cfti5/quake.php?00072IT=
89,1222,12,25,Basso bresciano,6,45.481,10.2319,https://storing.ingv.it/cfti/cfti5/quake.php?00089IT=
100,1231,6,1,Cassino,5.1,41.4891,13.8304,https://storing.ingv.it/cfti/cfti5/quake.php?00100IT=
120,1269,9,,Ancona,5.6,43.5583,13.5644,https://storing.ingv.it/cfti/cfti5/quake.php?00120IT=
122,1268,11,4,Trevigiano,5.4,45.736,12.0786,https://storing.ingv.it/cfti/cfti5/quake.php?00122IT=
123,1273,12,18,Potenza,5.8,40.6386,15.8053,https://storing.ingv.it/cfti/cfti5/quake.php?00123IT=
129,1276,5,22,Orvietano,5.6,42.7211,12.091,https://storing.ingv.it/cfti/cfti5/quake.php?00129IT=
