quake_code,cfti_code,asset_id,type,title,date,source,path,excerpt,tags,author,rights,credit,description,width,height,filename
11949,,lapicidata_lapicidata-wordpress-com-2022-09-02-lacco-ameno-ischia-na-ch_01,image,"Lacco Ameno (Ischia, NA) – Chiesa di Santa Restituta",,Lapicidata,https://lapicidata.wordpress.com/wp-content/uploads/2022/09/senza-nome.jpg?w=1024,"Chiesa di Santa Restituta – Piazza Santa Restituta – Lacco Ameno (Ischia, NA) Terremoto/i di riferimento: 28 luglio 1883 Testo: Hoc templum / V kal[endas] Aug[usti] an[no] r[estitutae] s[alutis] MDCCCLXXXIII / terrae mot…",,,,Post: https://lapicidata.wordpress.com/2022/09/02/lacco-ameno-ischia-na-chiesa-di-santa-restituta/,"Chiesa di Santa Restituta – Piazza Santa Restituta – Lacco Ameno (Ischia, NA)
Terremoto/i di riferimento:
28 luglio 1883
Testo:
Hoc templum / V kal[endas] Aug[usti] an[no] r[estitutae] s[alutis] MDCCCLXXXIII / terrae motu fere collapsum / et collatitia totius orbis pecunia / laxatis vetustae aedis spatiis / e fundamentis instauratum / IANUARIUS PORTANOVA / episcopus benemerentissimus /canonicorum collegio clero et populo / sancta laetitia gestientibus / augustioribus caeremoniis / dedicavit / postr[idie] kal[endas] Iulii  an[no] MDCCCLXXXVI //
Traduzione:
Nel giorno 2 agosto 1886 il benemerentissimo vescovo Gennaro Portanova, accomunato da santa letizia al collegio dei canonici, al clero e al popolo consacrò con le più solenni cerimonie questa chiesa, quasi crollata nel terremoto del 28 luglio 1883 e ricostruita dalle fondamenta e ampliata grazie alle offerte in denaro raccolte nel mondo intero.
Note: –
Ringraziamo Andrea Tertulliani (INGV Roma) per la segnalazione e la fotografia.",,,
1026,,lapicidata_lapicidata-wordpress-com-2021-01-14-oratorio-della-madonna-d_01,image,Modigliana (FC) – Santuario della Madonna del Cantone,,Lapicidata,https://lapicidata.wordpress.com/wp-content/uploads/2021/01/1610616582088_m5_width-1.jpg?w=451,Santuario della Madonna del Cantone. Commemorazione di scampato pericolo e rito votivo. Terremoto/i di riferimento: 22 marzo 1661 Testo: D[eo] O[ptimo] m[aximo] / Protecto divinitus oppido / a terraemotu finitima loca ve…,,,,Fotografia: archivio degli autori. | Post: https://lapicidata.wordpress.com/2021/01/14/oratorio-della-madonna-del-cantone-modigliana-fc/,"Santuario della Madonna del Cantone.
Commemorazione di scampato pericolo e rito votivo.
Terremoto/i di riferimento:
22 marzo 1661
Testo:
D[eo] O[ptimo] m[aximo] / Protecto divinitus oppido / a terraemotu finitima loca vexante / anno MDCLXI / Mutilianenses / die XX Martii / aedem Deiparae Virginis / Dal Cantone nuncupatam / solemni processione / quotannis adeunt / ex voto //
Traduzione: A Dio Onnipotente. I modiglianesi fanno voto di andare in solenne processione ogni anno, nel giorno 22 marzo,  alla chiesa dedicata alla Vergine Madre di Dio detta del Cantone per essere stato il castello [di Modigliana] miracolosamente protetto dal terremoto che vessò i luoghi vicini nell’anno 1661.
Fotografia: archivio degli autori.",,,
4589,,lapicidata_lapicidata-wordpress-com-2020-10-03-santuario-della-madonna-_01,image,"Santuario della Madonna di Belvedere (Città di Castello, PG)",,Lapicidata,https://lapicidata.wordpress.com/wp-content/uploads/2020/09/belvedere_citta_di_castello_27.jpg?w=300,"Santuario della Madonna di Belvedere Località Belvedere (Città di Castello, PG) Commemorazione di restauro. Terremoto/i di riferimento: 30 settembre 1789 Testo: D[eo] O[ptimo] M[aximo] / Templum hoc Virgini Deiparae / cu…",,,,Post: https://lapicidata.wordpress.com/2020/10/03/santuario-della-madonna-di-belvedere-citta-di-castello-pg/,"Santuario della Madonna di Belvedere
Località Belvedere (Città di Castello,
PG)
Commemorazione di restauro.
Terremoto/i di riferimento:
30 settembre 1789
Testo:
D[eo] O[ptimo] M[aximo] / Templum hoc Virgini Deiparae / cujus simulacrum in quadam hic repertum specu / crebris coepit irradiare prodigiis / dicatum / populorum largitionibus ab episcopo / Francisco Boccapaduli Romano / anno MDCLXIX inceptum MDCLXXXIV absolutum / ac Virginis in eo repositum simulacrum / Vaticana anno MDCCIII aurea redimitum / corona / at repetitis anno MDCCLXXXI et MDCCLXXXIX / terrae tremoribus tholo dirutis et fornic[em] / pene dejectum / Franciscus Antonius Mondellius Tifernatis antistes / magnificentius anno MDCCCXVI / pristinuo splendori restitui / curavit
//
Traduzione: A Dio onnipotente. Questa chiesa dedicata alla Vergine Madre di Dio, a causa dei miracoli per cui rifulse una di lei immagine ritrovata in una vicina grotta, la cui costruzione fu cominciata  nell’anno 1669 dal vescovo Francesco Boccapaduli romano grazie alle offerte del popolo e terminata nell’anno 1684 e la cui immagine mariana fu ornata di una corona d’oro per comando papale nell’anno 1703, dopo che i reiterati terremoti degli anni 1781 e 1789  ne ebbero rovinata la cupola e quasi atterrato l’arco, fu riportata all’iniziale splendore e resa anche più magnifica da Francesco Antonio Mondelli vescovo di Città di Castello nell’anno 1816.
Fotografia:
archivio degli autori.",,,
4589,,lapicidata_lapicidata-wordpress-com-2020-09-30-citta-di-castello-pg-via_01,image,"Città di Castello (PG), Viale Angelo Zampini, 22",,Lapicidata,https://lapicidata.wordpress.com/wp-content/uploads/2020/09/lapide-cittacc80-di-castello.png?w=300,"Città di Castello (PG). Edificio sito in Viale Angelo Zampini, 22 . Commemorazione di avvenimento collegato a terremoto. Terremoto/i di riferimento: 30 settembre 1789 Testo: Per l’orribile terremoto / del dì 30 settembre…",,,,© Giancarlo Monachesi | Post: https://lapicidata.wordpress.com/2020/09/30/citta-di-castello-pg-viale-angelo-zampini-22/,"Città di Castello (PG).
Edificio sito in Viale Angelo Zampini, 22
.
Commemorazione di avvenimento collegato a  terremoto.
Terremoto/i di riferimento:
30 settembre 1789
Testo:
Per l’orribile terremoto / del dì 30 settembre 1789 / fu qui trasportata e tenuta / per due giorni alla publica / venerazione la prodigiosa / imagine di Maria S[anti]s[i]ma / delle Grazie //
Traduzione: -.
Nota: l’immagine mariana veneratissima a Città di Castello sotto il titolo di
Madonna delle Grazie
è  una tavola conservata nell’antica chiesa dei Servi di Maria e raffigurante  la Madonna in trono col Bambino tra i santi Florido (patrono di Città di Castello) e  Filippo Benizi (frate servita). A cose normali il dipinto, opera di Giovanni da Piamonte e datato 1456, viene esposto
al pubblico solo due volte l’anno: il 2 febbraio e il 26 agosto. L’epigrafe commemora pertanto un episodio eccezionale nella storia della devozione dei tifernati per la Madonna delle Grazie.
Per una visione d’insieme del terremoto del 30 settembre 1789 si consulti la banca dati
AM(eri)GO
(Regione Marche-INGVAncona).
Bibliografia: G.M. Muzi, Memorie ecclesiastiche e civili di Città di Castello, 1844.
Fotografia:
© Giancarlo Monachesi",,,
4589,,lapicidata_lapicidata-wordpress-com-2020-09-30-citta-di-castello-pg-via_02,image,"Città di Castello (PG), Viale Angelo Zampini, 22 (2)",,Lapicidata,https://lapicidata.wordpress.com/wp-content/uploads/2020/10/foto12.jpg?w=200,"Città di Castello (PG). Edificio sito in Viale Angelo Zampini, 22 . Commemorazione di avvenimento collegato a terremoto. Terremoto/i di riferimento: 30 settembre 1789 Testo: Per l’orribile terremoto / del dì 30 settembre…",,,,© Giancarlo Monachesi | Post: https://lapicidata.wordpress.com/2020/09/30/citta-di-castello-pg-viale-angelo-zampini-22/,"Città di Castello (PG).
Edificio sito in Viale Angelo Zampini, 22
.
Commemorazione di avvenimento collegato a  terremoto.
Terremoto/i di riferimento:
30 settembre 1789
Testo:
Per l’orribile terremoto / del dì 30 settembre 1789 / fu qui trasportata e tenuta / per due giorni alla publica / venerazione la prodigiosa / imagine di Maria S[anti]s[i]ma / delle Grazie //
Traduzione: -.
Nota: l’immagine mariana veneratissima a Città di Castello sotto il titolo di
Madonna delle Grazie
è  una tavola conservata nell’antica chiesa dei Servi di Maria e raffigurante  la Madonna in trono col Bambino tra i santi Florido (patrono di Città di Castello) e  Filippo Benizi (frate servita). A cose normali il dipinto, opera di Giovanni da Piamonte e datato 1456, viene esposto
al pubblico solo due volte l’anno: il 2 febbraio e il 26 agosto. L’epigrafe commemora pertanto un episodio eccezionale nella storia della devozione dei tifernati per la Madonna delle Grazie.
Per una visione d’insieme del terremoto del 30 settembre 1789 si consulti la banca dati
AM(eri)GO
(Regione Marche-INGVAncona).
Bibliografia: G.M. Muzi, Memorie ecclesiastiche e civili di Città di Castello, 1844.
Fotografia:
© Giancarlo Monachesi",,,
4589,,lapicidata_lapicidata-wordpress-com-2020-09-17-citta-di-castello-pg-chi_01,image,Città di Castello (PG) – Chiesa di Santa Maria Nova,,Lapicidata,https://lapicidata.wordpress.com/wp-content/uploads/2020/09/img_20191218_142153.jpg?w=300,"Città di Castello (PG), Corso Vittorio Emanuele, 26. Chiesa di Santa Maria Nova. Commemorazione di restauro. Terremoto/i di riferimento: 30 settembre 1789 Testo: Templum hoc tremente terra disiectum / die XXX Septembris …",,,,© Viviana Castelli | Post: https://lapicidata.wordpress.com/2020/09/17/citta-di-castello-pg-chiesa-di-santa-maria-nova/,"Città di Castello (PG), Corso Vittorio Emanuele, 26.
Chiesa di Santa Maria Nova.
Commemorazione di restauro.
Terremoto/i di riferimento:
30 settembre 1789
Testo:
Templum hoc tremente terra disiectum / die XXX Septembris MDCCLXXXIX / elegantius a fundamentis restitutum est / a[nno] D[omini] MDCCXCII //
Traduzione: Questa chiesa ridotta in rovina dalla terra tremante nel giorno 30 settembre 1789 è stato ripristinato dalle fondamenta nell’anno del Signore 1792.
Fotografia:
© Viviana Castelli",,,
4589,,lapicidata_lapicidata-wordpress-com-2020-09-17-citta-di-castello-pg-chi_02,image,Città di Castello (PG) – Chiesa di Santa Maria Nova (2),,Lapicidata,https://lapicidata.wordpress.com/wp-content/uploads/2020/09/medium_3m4ch01a.jpg?w=209,"Città di Castello (PG), Corso Vittorio Emanuele, 26. Chiesa di Santa Maria Nova. Commemorazione di restauro. Terremoto/i di riferimento: 30 settembre 1789 Testo: Templum hoc tremente terra disiectum / die XXX Septembris …",,,,© Viviana Castelli | Post: https://lapicidata.wordpress.com/2020/09/17/citta-di-castello-pg-chiesa-di-santa-maria-nova/,"Città di Castello (PG), Corso Vittorio Emanuele, 26.
Chiesa di Santa Maria Nova.
Commemorazione di restauro.
Terremoto/i di riferimento:
30 settembre 1789
Testo:
Templum hoc tremente terra disiectum / die XXX Septembris MDCCLXXXIX / elegantius a fundamentis restitutum est / a[nno] D[omini] MDCCXCII //
Traduzione: Questa chiesa ridotta in rovina dalla terra tremante nel giorno 30 settembre 1789 è stato ripristinato dalle fondamenta nell’anno del Signore 1792.
Fotografia:
© Viviana Castelli",,,
4589,,lapicidata_lapicidata-wordpress-com-2020-09-16-citta-di-castello-pg-chi_01,image,Città di Castello (PG) – Chiesa di San Martino (o delle Cappuccine).,,Lapicidata,https://lapicidata.wordpress.com/wp-content/uploads/2020/09/img_20191218_150843.jpg?w=300,"Città di Castello (PG),Via XI settembre 23. Chiesa di San Martino (o delle Cappuccine). Commemorazione di restauro. Terremoto/i di riferimento: 30 settembre 1789 Testo: D[eo] O[ptimo] M[aximo] / Templum hoc d[ivo] Martin…",,,,© Viviana Castelli | Post: https://lapicidata.wordpress.com/2020/09/16/citta-di-castello-pg-chiesa-di-san-martino-o-delle-cappuccine/,"Città di Castello (PG),Via XI settembre 23.
Chiesa di San Martino (o delle Cappuccine).
Commemorazione di restauro.
Terremoto/i di riferimento:
30 settembre 1789
Testo:
D[eo] O[ptimo] M[aximo] / Templum hoc d[ivo] Martino dicatum / cum adnexo coenobio / aere Io[hannis Antoni Fuccioli Tif[erni] Tib[erini] constructo / monialibus sanctae Clarae Cappuccinis / largitate concessum / a terraemotu inde quassatum / in hanc formam sub auspicis / episc[opi] Petri Boscarini Corinalt[ensis] / externus redactum / anno rest[auratae] salut[is] MDCCXXC //
Traduzione: A Dio onnipotente. Questa chiesa dedicata a san Martino, insieme all’annesso convento costruito a spese di Giovanni Antonio Fuccioli da Città di Castello e concesso in dono alle monache cappuccine di santa Chiara, scosso poi dal terremoto fu ripristinato esternamente in questa forma sotto gli auspici del vescovo Pietro Boscarini da Corinaldo nell’anno 1790 dalla redenzione.
Fotografia:
© Viviana Castelli",,,
31955,,lapicidata_lapicidata-wordpress-com-2020-09-03-isola-di-stromboli-lipar_01,image,"Isola di Stromboli (Lipari, ME) – Chiesa di San Vincenzo Ferreri",,Lapicidata,https://lapicidata.wordpress.com/wp-content/uploads/2020/09/sanvincenzo-stromboli-1.jpg?w=300,"Isola di Stromboli (Lipari, ME), Chiesa di San Vincenzo Ferreri Commemorazione di restauro. Terremoto/i di riferimento: 22 maggio 1941 , 16 aprile 1960 Testo: Quod annorum MCMXLII [sic] et MCMLX / terrae concussus / istu…",,,,© Romano Camassi | Post: https://lapicidata.wordpress.com/2020/09/03/isola-di-stromboli-lipari-me-chiesa-di-san-vincenzo-ferreri/,"Isola di Stromboli (Lipari, ME), Chiesa di San Vincenzo Ferreri
Commemorazione di restauro.
Terremoto/i di riferimento:
22 maggio 1941
,
16 aprile 1960
Testo:
Quod annorum MCMXLII [sic] et MCMLX / terrae concussus / istud adflixerant templum / denuo aedilium provinciae nostrae moderatorum / sedula flagrantique cura / necnon Liparitanae ecclesiae episcopi / Bernardini Salv[atoris] Re / et Antonii Dimattina parochi / pristinae firmitati restitutum / idem secunda praesagies omina antistes / insulae huius Christifidelibus exultantibus / a[nno] D[omini] VII idus Octobres [sic] benedixit //
Trad.: Questa chiesa, danneggiata dalle scosse di terremoto degli anni 1942 [sic] e 1960, è stata riportata all’originale  saldezza dalle assidue e fervide cure degli amministratori della nostra provincia, del vescovo di Lipari Bernardino Salvatore Re e del parroco Antonio Di Mattina. Lo stesso presule in segno di buon augurio tra l’esultanza dei fedeli di questa isola l’ha consacrata nell’anno del Signore […].
Nota: L’iscrizione si trova sulla controfacciata della chiesa, a destra della porta.
Ringraziamo Romano Camassi per la segnalazione e le immagini
.
Fotografie:
© Romano Camassi",,,
31955,,lapicidata_lapicidata-wordpress-com-2020-09-03-isola-di-stromboli-lipar_02,image,"Isola di Stromboli (Lipari, ME) – Chiesa di San Vincenzo Ferreri (2)",,Lapicidata,https://lapicidata.wordpress.com/wp-content/uploads/2020/09/san-vincenzo-stromboli-0.jpg?w=225,"Isola di Stromboli (Lipari, ME), Chiesa di San Vincenzo Ferreri Commemorazione di restauro. Terremoto/i di riferimento: 22 maggio 1941 , 16 aprile 1960 Testo: Quod annorum MCMXLII [sic] et MCMLX / terrae concussus / istu…",,,,© Romano Camassi | Post: https://lapicidata.wordpress.com/2020/09/03/isola-di-stromboli-lipari-me-chiesa-di-san-vincenzo-ferreri/,"Isola di Stromboli (Lipari, ME), Chiesa di San Vincenzo Ferreri
Commemorazione di restauro.
Terremoto/i di riferimento:
22 maggio 1941
,
16 aprile 1960
Testo:
Quod annorum MCMXLII [sic] et MCMLX / terrae concussus / istud adflixerant templum / denuo aedilium provinciae nostrae moderatorum / sedula flagrantique cura / necnon Liparitanae ecclesiae episcopi / Bernardini Salv[atoris] Re / et Antonii Dimattina parochi / pristinae firmitati restitutum / idem secunda praesagies omina antistes / insulae huius Christifidelibus exultantibus / a[nno] D[omini] VII idus Octobres [sic] benedixit //
Trad.: Questa chiesa, danneggiata dalle scosse di terremoto degli anni 1942 [sic] e 1960, è stata riportata all’originale  saldezza dalle assidue e fervide cure degli amministratori della nostra provincia, del vescovo di Lipari Bernardino Salvatore Re e del parroco Antonio Di Mattina. Lo stesso presule in segno di buon augurio tra l’esultanza dei fedeli di questa isola l’ha consacrata nell’anno del Signore […].
Nota: L’iscrizione si trova sulla controfacciata della chiesa, a destra della porta.
Ringraziamo Romano Camassi per la segnalazione e le immagini
.
Fotografie:
© Romano Camassi",,,
