quake_code,pdf_r_url
13,
18,
35,
36,
39,
46,
57,
58,
62,
65,
72,
89,
100,
120,
122,
123,
129,
143,
144,https://storing.ingv.it/cfti/cfti5/pdf_R/003060-000001_R.pdf
144,https://storing.ingv.it/cfti/cfti5/pdf_R/003060-000002_R.pdf
144,https://storing.ingv.it/cfti/cfti5/pdf_R/003060-000003_R.pdf
144,https://storing.ingv.it/cfti/cfti5/pdf_R/003060-050007_R.pdf
144,https://storing.ingv.it/cfti/cfti5/pdf_R/003060-053003_R.pdf
144,https://storing.ingv.it/cfti/cfti5/pdf_R/003060-090131_R.pdf
144,https://storing.ingv.it/cfti/cfti5/pdf_R/003060-090243_R.pdf
144,https://storing.ingv.it/cfti/cfti5/pdf_R/003060-090333_R.pdf
144,https://storing.ingv.it/cfti/cfti5/pdf_R/003060-090371_R.pdf
144,https://storing.ingv.it/cfti/cfti5/pdf_R/003060-091411_R.pdf
160,
162,https://storing.ingv.it/cfti/cfti5/pdf_R/003240-000001_R.pdf
162,https://storing.ingv.it/cfti/cfti5/pdf_R/003240-000002_R.pdf
162,https://storing.ingv.it/cfti/cfti5/pdf_R/003240-000003_R.pdf
162,https://storing.ingv.it/cfti/cfti5/pdf_R/003240-091411_R.pdf
169,
189,
197,https://storing.ingv.it/cfti/cfti5/pdf_R/003166-000001_R.pdf
197,https://storing.ingv.it/cfti/cfti5/pdf_R/003166-000002_R.pdf
197,https://storing.ingv.it/cfti/cfti5/pdf_R/003166-050007_R.pdf
197,https://storing.ingv.it/cfti/cfti5/pdf_R/003166-091411_R.pdf
201,https://storing.ingv.it/cfti/cfti5/pdf_R/003158-000001_R.pdf
201,https://storing.ingv.it/cfti/cfti5/pdf_R/003158-052150_R.pdf
201,https://storing.ingv.it/cfti/cfti5/pdf_R/003158-080937_R.pdf
201,https://storing.ingv.it/cfti/cfti5/pdf_R/003158-091411_R.pdf
215,https://storing.ingv.it/cfti/cfti5/pdf_R/003062-000001_R.pdf
215,https://storing.ingv.it/cfti/cfti5/pdf_R/003062-000002_R.pdf
215,https://storing.ingv.it/cfti/cfti5/pdf_R/003062-000003_R.pdf
215,https://storing.ingv.it/cfti/cfti5/pdf_R/003062-050007_R.pdf
215,https://storing.ingv.it/cfti/cfti5/pdf_R/003062-053003_R.pdf
215,https://storing.ingv.it/cfti/cfti5/pdf_R/003062-091411_R.pdf
215,https://storing.ingv.it/cfti/cfti5/pdf_R/003062-910514_R.pdf
215,https://storing.ingv.it/cfti/cfti5/pdf_R/003062-950731_R.pdf
232,
239,
243,
244,
245,
252,
258,
263,
304,
314,
318,
339,
353,
367,
368,
370,
388,
406,
418,
425,
438,
464,
466,
468,
484,https://storing.ingv.it/cfti/cfti5/pdf_R/000072-000001_R.pdf
484,https://storing.ingv.it/cfti/cfti5/pdf_R/000072-000003_R.pdf
